text,label
Mortar assault leaves at least 18 dead,sadness
Goal delight for Sheva,joy
Nigeria hostage feared dead is freed,joy
Bombers kill shoppers,fear
"Vegetables, not fruit, slow brain decline",surprise
PM: Havana deal a good experiment,joy
Kate is marrying Doherty,joy
NASA revisiting life on Mars question,surprise
"Happy birthday, iPod",joy
Alonso would be happy to retire with three titles,joy
Madonna's New Tot 'Happy at Home' in London,joy
Nicole Kidman asks dad to help stop husband's drinking,sadness
United Finds Good Connection in Win,joy
'Runway': Making Good Without Making Nice,joy
"We were 'arrogant and stupid' over Iraq, says US diplomat",sadness
Bad reasons to be good,sadness
Madonna's new baby's daddy didn't realize adoption was `for good',surprise
Women in their 60s 'are perfectly good mothers',sadness
We're a pretty kind 'bully',joy
Moderate drinking reduces men's heart attack risk,joy
Tom Cruise and Katie Holmes set wedding date,joy
Kidnapped AP photographer freed in Gaza,fear
"Bush Insists Troops Stay in Iraq, Predicts Midterm Victory",disgust
Hurricane Paul Weakens To Tropical Storm,surprise
UK announces immigration restrictions,anger
Three found alive from missing Russian ship -report,joy
Poison Pill to Swallow: Hawks Hurting After Loss to Vikes,sadness
Injured Marathon Winner Leaves Hospital,joy
Hacker unlocks Apple music download protection,surprise
Spanish journalist seized in Gaza,fear
Sudan urges UN to replace its special envoy,surprise
Resolution approved for international games,joy
Pair of Satellites Will Document Sun in 3-D,joy
Martian Life Could Have Evaded Detection by Viking Landers,surprise
The sweet tune of an anniversary,joy
Did Viking Probes Miss Life on Mars?,surprise
Diplomat acknowledges US arrogance in Iraq,anger
More Human Remains Found at Ground Zero,sadness
How to Prevent Iraq From Getting Even Worse,fear
Tensions as Hungary marks uprising,fear
Stanford study warns of Internet addiction,fear
No evidence of ice reserves on the moon,sadness
A Picture and A Thousand Words,anger
Parachutist dies at bridge-jump festival,sadness
US Troops Killed In October In Iraq,sadness
"Chefs not counting calories, study finds",sadness
Deaths linked to flu vaccine,sadness
Perfect lives lose their focus,joy
Bread-Heavy Diet Linked to Kidney Cancer,fear
Beating poverty in a small way,joy
Israel insists on Lebanon overflights,anger
Britain to restrict immigrants from new EU members,disgust
Confusion Reigns In the Expanding Digital World,surprise
Game on! London exhibition celebrates the history of video games,joy
Making peace from victory over poverty,joy
Marine killed in fighting west of Baghdad,sadness
Scientists create first cloaking device,joy
Amateur rocket scientists reach for space,joy
Confusion Reigns In the Expanding Digital World,surprise
Deaths linked to flu vaccine,sadness
Israel admits using phosphorous shells in Lebanon,sadness
4th person dies after receiving flu shot,sadness
Police and shoppers targeted in growing Iraq violence,fear
Scientists discover miracle in the depths,surprise
Doctors Seeing Patients Who Think They're Internet Addicted,sadness
China launches two satellites into orbit,joy
Vegetables May Boost Brain Power in Older Adults,surprise
Hurricane Paul nears Category 3 status,fear
"Russian ship sinks, 18-member crew missing",sadness
Iran's president urges higher birth rate,surprise
Apple set for massive market gains,joy
Tumor Types May Explain Survival Rates for Cancer,sadness
Routine mission turns into hunt for missing comrade,sadness
Bad weather slows S.Korean search for Russian ship,sadness
Tailors and housewives busy as Muslims celebrate Eid,joy
Active peace brings the promise of development,joy
Abbas condemns Israeli massacre in northern Gaza Strip,disgust
"Bangladesh ferry sinks, 15 dead",sadness
Bucs find a new kick in life,joy
Google to unveil election mashup,surprise
Police warn of child exploitation online,disgust
Breast Cancer Awareness is Important,fear
Hungary police tackle violent protestors,sadness
Three drivers had reason to be proud in Brazil,joy
Celebrities Protest Malibu Gas Facility,joy
Lebo: A life lived on the edge,anger
"Presto! He's Batman, then magic man",surprise
"Heavy use of mobile phones can make men infertile, scientists say",fear
Russian ship sinks in Pacific,sadness
China Successfully Launches Two Satellites,joy
Prestige has magic touch,joy
"Lies, damned lies, and divorce",sadness
Manning inspires Giants to victory in Dallas,joy
Riot warning for France suburbs,sadness
Full recovery expected for marathon winner,joy
Sony apologises for global battery recall,sadness
Questions on credit card safety,fear
Budapest calm after night of violent protests,anger
Vegetables May Boost Brain Power in Older Adults,joy
Report criticises US press freedoms,anger
French suburb riots could resume,fear
Photographer kidnapping condemned,disgust
Photographer kidnapped in Gaza,disgust
Baseball: Rogers enjoys his muddied streak,joy
"Cultural revolutionary, the iPod is five",joy
Life on Mars? Maybe We Missed It,surprise
Three found alive from missing Russian ship -report,joy
Moderate drinking reduces men's heart attack risk,joy
The sweet tune of an anniversary,joy
Inconvenient truths,anger
Dating difficult for Harry Potter,surprise
Students lose their rite of passage,sadness
Putin vows to tackle illegal immigration,anger
Ottawa must redefine 'terror',fear
"Britain to Limit Workers from Romania, Bulgaria",fear
Top General Optimistic on Iraq,sadness
Kim Osorio Wins Sexual Harrassment Suit Against The Source,joy
Silly and substantial,joy
Official laughs for Borat,joy
Speaker Hastert testifies before panel probing sex scandal,disgust
On Educating Sexes Separately,anger
Tom Cruise and Katie Holmes set wedding date,joy
Martian Life Could Have Evaded Detection by Viking Landers,surprise
Ukraine gas deal marred by fears,fear
Marathon victory comes at heavy cost,joy
College tuition continues climbing,anger
German paper shows soldiers desecrating skull,disgust
"War is close, Ethiopia tells Somali rebels",fear
Advantage Cardinals with Suppan in Game 4,joy
NASA spacecraft to measure Sun,joy
"Sony Hates Europeans, Will Prevent The Importing of PS3",anger
Flu Vaccine Appears Safe for Young Children,joy
Google To Launch Yet Another Search Tool,joy
Tropical Storm Paul's Outer Bands Hit Mexico's Baja California,sadness
Israeli Bomblets Plague Lebanon,fear
"New Indonesia Calamity, a Mud Bath, Is Man-Made",anger
U.S. Weighs Sanctions Against North Korea,anger
"Rice, in Baghdad, Insists That Iraqis Are ",anger
Senator Says U.S. Should Rethink Iraq Strategy,sadness
German Chief Forges Accord on Financing Health Care,joy
Turkish Writers Say Efforts to Stifle Speech May Backfire,anger
Kurdish Lawmaker Killed in an Attack in Baghdad,fear
Anti-U.S. Attack Videos Spread on the Internet,anger
"Women Face Greatest Threat of Violence at Home, Study Finds",disgust
Appeal by Chinese Researcher for Times May Soon Be Heard,joy
Brazil Air Force Cites Faults and Confusion in Fatal Crash,sadness
A Mix of Oil and Environmentalism,fear
Immigrants and French Reach Deal in Standoff,joy
Genghis Khan Beer? Mongolia Grimaces,anger
Dead Bachelors in Remote China Still Find Wives,surprise
"Managua Journal: Hold the Mojito and Margarita, Nicaragua Has el Macu",anger
Paris Journal: Smoking No Longer Tres Chic in France,joy
An Old Letter Casts Doubts on Iran's Goal for Uranium,surprise
U.S. Warns North Koreans About Nuclear Test,fear
Global Sludge Ends in Tragedy for Ivory Coast,sadness
Equipment on Plane in Brazil Collision May Have Been Faulty,sadness
"New Indonesia Calamity, a Mud Bath, Is Man-Made",sadness
Iraqi Journalists Add Laws to List of Dangers,fear
U.N. Force Is Treading Lightly on Lebanese Soil,fear
Cleric Said to Lose Reins Over Part of Iraqi Militia,sadness
"Citing Spy Agencies' Study, Democrats Seek Iraq Changes",surprise
Opera Canceled Over a Depiction of Muhammad,sadness
Military Officials Add to U.S. Criticism of Iraq's Government,joy
Teacher in Hiding After Attack on Islam Stirs Threats,fear
Combative Bush Releases Parts of Terror Study,fear
Growing Unarmed Battalion in Qaeda Army Is Using Internet to Get the Message Out,fear
"Iraqi Linked to Sunni Bloc Is Held in Plot, Military Says",fear
"Seduced by Snacks? No, Not You",disgust
Friends for Life: An Emerging Biology of Emotional Healing,joy
"Alzheimer's Drugs Offer No Help, Study Finds",sadness
"Across Europe, Worries on Islam Spread to Center",sadness
Cooking Defines Sephardic Jews at Sukkot,joy
"Fitness: Bodies in Motion, Clean and Sober",joy
In God's Name: Religion-Based Tax Breaks: Housing to Paychecks to Books,joy
"Yankee Dies in Plane Crash, Official Says",sadness
An Elephant Crackup?,sadness
"With YouTube, Grad Student Hits Jackpot Again",joy
Dow flirts with record highs again,joy
Tropical Storm Isaac forms in Atlantic,fear
New Iraq terror tape calls for abducting foreigners,fear
'Deep regret' for ex-HP exec,sadness
'Opportunity' knocks on geologist's dream crater,joy
Squirrel jumps boy in park; rabies suspected,surprise
Girl left comatose after dental visit dies,sadness
Porn star candidate campaigns on campus,disgust
School ends football season after 0-4 start,sadness
Charlie Sheen to become highest-paid sitcom star,joy
Jon Stewart mocks benefits of CNN's I,surprise
Ashton Kutcher tells secret to Ryan Seacrest,surprise
Nails-on-chalkboard study earns Ig,disgust
Gunman 'fine' before shooting,sadness
Marijuana may stave off Alzheimer's,surprise
Kentucky seeks alcohol huffing ban,joy
Toddler died from tainted spinach,sadness
Judge dismisses Karr's porn case,surprise
10 die in 22-hour Kashmir standoff,fear
Slain Amish girls laid to rest,sadness
"5,000 flee plant fire",fear
Cher auction fetches double pre-sale estimates,joy
Stars scuffle on 'Grey's Anatomy',disgust
Probe under way in Yankee crash,sadness
Amish schoolhouse torn down,sadness
Warner will not run in '08,sadness
Reid land deal under scrutiny,surprise
"Flooding washes out road to Valdez, Alaska",sadness
Briton admits U.S. bomb plot role,sadness
Commentary: Minutemen have a right to be idiotic,anger
Madonna files adoption papers,joy
Gunmen kill 9 at Iraqi TV station,fear
Hastert sorry for scandal but not quitting,sadness
Ex-JonBenet suspect: Child porn case dropped ,anger
"Waste plant fire forces 5,000 to evacuate ",sadness
Toddler died from E. coli tainted spinach ,sadness
